f1,f2,f3,f4,f5,trial,true_category,response,correct,performance,agent,scaling,weight_type
0,0,0,0,0,1,0,0,1,1,1,0.1,equal
1,0,0,0,0,2,1,1,1,1,1,0.1,equal
0,1,0,0,0,3,0,1,0,0.6666666666666666,1,0.1,equal
1,1,0,0,0,4,1,1,1,0.75,1,0.1,equal
0,0,1,0,0,5,0,0,1,0.8,1,0.1,equal
1,0,1,0,0,6,1,0,0,0.6666666666666666,1,0.1,equal
0,1,1,0,0,7,0,1,0,0.5714285714285714,1,0.1,equal
1,1,1,0,0,8,1,0,0,0.5,1,0.1,equal
0,0,0,1,0,9,0,0,1,0.5555555555555556,1,0.1,equal
1,0,0,1,0,10,1,0,0,0.5,1,0.1,equal
0,1,0,1,0,11,0,1,0,0.45454545454545453,1,0.1,equal
1,1,0,1,0,12,1,0,0,0.4166666666666667,1,0.1,equal
0,0,1,1,0,13,0,1,0,0.38461538461538464,1,0.1,equal
1,0,1,1,0,14,1,1,1,0.42857142857142855,1,0.1,equal
0,1,1,1,0,15,0,0,1,0.4666666666666667,1,0.1,equal
1,1,1,1,0,16,1,1,1,0.5,1,0.1,equal
0,0,0,0,1,17,0,1,0,0.47058823529411764,1,0.1,equal
1,0,0,0,1,18,1,0,0,0.4444444444444444,1,0.1,equal
0,1,0,0,1,19,0,1,0,0.42105263157894735,1,0.1,equal
1,1,0,0,1,20,1,0,0,0.4,1,0.1,equal
0,0,1,0,1,21,0,0,1,0.42857142857142855,1,0.1,equal
1,0,1,0,1,22,1,0,0,0.4090909090909091,1,0.1,equal
0,1,1,0,1,23,0,1,0,0.391304347826087,1,0.1,equal
1,1,1,0,1,24,1,1,1,0.4166666666666667,1,0.1,equal
0,0,0,1,1,25,0,1,0,0.4,1,0.1,equal
1,0,0,1,1,26,1,1,1,0.4230769230769231,1,0.1,equal
0,1,0,1,1,27,0,1,0,0.4074074074074074,1,0.1,equal
1,1,0,1,1,28,1,1,1,0.42857142857142855,1,0.1,equal
0,0,1,1,1,29,0,1,0,0.41379310344827586,1,0.1,equal
1,0,1,1,1,30,1,0,0,0.4,1,0.1,equal
0,1,1,1,1,31,0,0,1,0.41935483870967744,1,0.1,equal
1,1,1,1,1,32,1,0,0,0.40625,1,0.1,equal
0,0,0,0,0,1,0,0,1,1,1,0.1,skewed1
1,0,0,0,0,2,1,1,1,1,1,0.1,skewed1
0,1,0,0,0,3,0,1,0,0.6666666666666666,1,0.1,skewed1
1,1,0,0,0,4,1,1,1,0.75,1,0.1,skewed1
0,0,1,0,0,5,0,0,1,0.8,1,0.1,skewed1
1,0,1,0,0,6,1,0,0,0.6666666666666666,1,0.1,skewed1
0,1,1,0,0,7,0,1,0,0.5714285714285714,1,0.1,skewed1
1,1,1,0,0,8,1,0,0,0.5,1,0.1,skewed1
0,0,0,1,0,9,0,0,1,0.5555555555555556,1,0.1,skewed1
1,0,0,1,0,10,1,0,0,0.5,1,0.1,skewed1
0,1,0,1,0,11,0,1,0,0.45454545454545453,1,0.1,skewed1
1,1,0,1,0,12,1,0,0,0.4166666666666667,1,0.1,skewed1
0,0,1,1,0,13,0,1,0,0.38461538461538464,1,0.1,skewed1
1,0,1,1,0,14,1,1,1,0.42857142857142855,1,0.1,skewed1
0,1,1,1,0,15,0,0,1,0.4666666666666667,1,0.1,skewed1
1,1,1,1,0,16,1,1,1,0.5,1,0.1,skewed1
0,0,0,0,1,17,0,1,0,0.47058823529411764,1,0.1,skewed1
1,0,0,0,1,18,1,0,0,0.4444444444444444,1,0.1,skewed1
0,1,0,0,1,19,0,1,0,0.42105263157894735,1,0.1,skewed1
1,1,0,0,1,20,1,1,1,0.45,1,0.1,skewed1
0,0,1,0,1,21,0,0,1,0.47619047619047616,1,0.1,skewed1
1,0,1,0,1,22,1,0,0,0.45454545454545453,1,0.1,skewed1
0,1,1,0,1,23,0,1,0,0.43478260869565216,1,0.1,skewed1
1,1,1,0,1,24,1,1,1,0.4583333333333333,1,0.1,skewed1
0,0,0,1,1,25,0,1,0,0.44,1,0.1,skewed1
1,0,0,1,1,26,1,1,1,0.46153846153846156,1,0.1,skewed1
0,1,0,1,1,27,0,0,1,0.48148148148148145,1,0.1,skewed1
1,1,0,1,1,28,1,1,1,0.5,1,0.1,skewed1
0,0,1,1,1,29,0,1,0,0.4827586206896552,1,0.1,skewed1
1,0,1,1,1,30,1,0,0,0.4666666666666667,1,0.1,skewed1
0,1,1,1,1,31,0,0,1,0.4838709677419355,1,0.1,skewed1
1,1,1,1,1,32,1,0,0,0.46875,1,0.1,skewed1
0,0,0,0,0,1,0,0,1,1,1,0.1,skewed2
1,0,0,0,0,2,1,1,1,1,1,0.1,skewed2
0,1,0,0,0,3,0,1,0,0.6666666666666666,1,0.1,skewed2
1,1,0,0,0,4,1,1,1,0.75,1,0.1,skewed2
0,0,1,0,0,5,0,0,1,0.8,1,0.1,skewed2
1,0,1,0,0,6,1,0,0,0.6666666666666666,1,0.1,skewed2
0,1,1,0,0,7,0,1,0,0.5714285714285714,1,0.1,skewed2
1,1,1,0,0,8,1,0,0,0.5,1,0.1,skewed2
0,0,0,1,0,9,0,0,1,0.5555555555555556,1,0.1,skewed2
1,0,0,1,0,10,1,0,0,0.5,1,0.1,skewed2
0,1,0,1,0,11,0,1,0,0.45454545454545453,1,0.1,skewed2
1,1,0,1,0,12,1,0,0,0.4166666666666667,1,0.1,skewed2
0,0,1,1,0,13,0,1,0,0.38461538461538464,1,0.1,skewed2
1,0,1,1,0,14,1,1,1,0.42857142857142855,1,0.1,skewed2
0,1,1,1,0,15,0,0,1,0.4666666666666667,1,0.1,skewed2
1,1,1,1,0,16,1,1,1,0.5,1,0.1,skewed2
0,0,0,0,1,17,0,1,0,0.47058823529411764,1,0.1,skewed2
1,0,0,0,1,18,1,0,0,0.4444444444444444,1,0.1,skewed2
0,1,0,0,1,19,0,1,0,0.42105263157894735,1,0.1,skewed2
1,1,0,0,1,20,1,1,1,0.45,1,0.1,skewed2
0,0,1,0,1,21,0,0,1,0.47619047619047616,1,0.1,skewed2
1,0,1,0,1,22,1,0,0,0.45454545454545453,1,0.1,skewed2
0,1,1,0,1,23,0,1,0,0.43478260869565216,1,0.1,skewed2
1,1,1,0,1,24,1,1,1,0.4583333333333333,1,0.1,skewed2
0,0,0,1,1,25,0,1,0,0.44,1,0.1,skewed2
1,0,0,1,1,26,1,1,1,0.46153846153846156,1,0.1,skewed2
0,1,0,1,1,27,0,0,1,0.48148148148148145,1,0.1,skewed2
1,1,0,1,1,28,1,1,1,0.5,1,0.1,skewed2
0,0,1,1,1,29,0,1,0,0.4827586206896552,1,0.1,skewed2
1,0,1,1,1,30,1,0,0,0.4666666666666667,1,0.1,skewed2
0,1,1,1,1,31,0,0,1,0.4838709677419355,1,0.1,skewed2
1,1,1,1,1,32,1,0,0,0.46875,1,0.1,skewed2
0,0,0,0,0,1,0,0,1,1,1,0.1,skewed3
1,0,0,0,0,2,1,1,1,1,1,0.1,skewed3
0,1,0,0,0,3,0,1,0,0.6666666666666666,1,0.1,skewed3
1,1,0,0,0,4,1,1,1,0.75,1,0.1,skewed3
0,0,1,0,0,5,0,0,1,0.8,1,0.1,skewed3
1,0,1,0,0,6,1,0,0,0.6666666666666666,1,0.1,skewed3
0,1,1,0,0,7,0,1,0,0.5714285714285714,1,0.1,skewed3
1,1,1,0,0,8,1,0,0,0.5,1,0.1,skewed3
0,0,0,1,0,9,0,0,1,0.5555555555555556,1,0.1,skewed3
1,0,0,1,0,10,1,0,0,0.5,1,0.1,skewed3
0,1,0,1,0,11,0,1,0,0.45454545454545453,1,0.1,skewed3
1,1,0,1,0,12,1,0,0,0.4166666666666667,1,0.1,skewed3
0,0,1,1,0,13,0,1,0,0.38461538461538464,1,0.1,skewed3
1,0,1,1,0,14,1,1,1,0.42857142857142855,1,0.1,skewed3
0,1,1,1,0,15,0,0,1,0.4666666666666667,1,0.1,skewed3
1,1,1,1,0,16,1,1,1,0.5,1,0.1,skewed3
0,0,0,0,1,17,0,1,0,0.47058823529411764,1,0.1,skewed3
1,0,0,0,1,18,1,0,0,0.4444444444444444,1,0.1,skewed3
0,1,0,0,1,19,0,1,0,0.42105263157894735,1,0.1,skewed3
1,1,0,0,1,20,1,1,1,0.45,1,0.1,skewed3
0,0,1,0,1,21,0,0,1,0.47619047619047616,1,0.1,skewed3
1,0,1,0,1,22,1,0,0,0.45454545454545453,1,0.1,skewed3
0,1,1,0,1,23,0,1,0,0.43478260869565216,1,0.1,skewed3
1,1,1,0,1,24,1,1,1,0.4583333333333333,1,0.1,skewed3
0,0,0,1,1,25,0,1,0,0.44,1,0.1,skewed3
1,0,0,1,1,26,1,1,1,0.46153846153846156,1,0.1,skewed3
